,age,balance,day,duration,campaign,pdays,previous
0,58,2143,5,261,1,-1,0
1,44,29,5,151,1,-1,0
2,33,2,5,76,1,-1,0
3,47,1506,5,92,1,-1,0
4,33,1,5,198,1,-1,0
5,35,231,5,139,1,-1,0
6,28,447,5,217,1,-1,0
7,42,2,5,380,1,-1,0
8,58,121,5,50,1,-1,0
9,43,593,5,55,1,-1,0
10,41,270,5,222,1,-1,0
11,29,390,5,137,1,-1,0
12,53,6,5,517,1,-1,0
13,58,71,5,71,1,-1,0
14,57,162,5,174,1,-1,0
15,51,229,5,353,1,-1,0
16,45,13,5,98,1,-1,0
17,57,52,5,38,1,-1,0
18,60,60,5,219,1,-1,0
19,33,0,5,54,1,-1,0
20,28,723,5,262,1,-1,0
21,56,779,5,164,1,-1,0
22,32,23,5,160,1,-1,0
23,25,50,5,342,1,-1,0
24,40,0,5,181,1,-1,0
25,44,-372,5,172,1,-1,0
26,39,255,5,296,1,-1,0
27,52,113,5,127,1,-1,0
28,46,-246,5,255,2,-1,0
29,36,265,5,348,1,-1,0
30,57,839,5,225,1,-1,0
31,49,378,5,230,1,-1,0
32,60,39,5,208,1,-1,0
33,59,0,5,226,1,-1,0
34,51,10635,5,336,1,-1,0
35,57,63,5,242,1,-1,0
36,25,-7,5,365,1,-1,0
37,53,-3,5,1666,1,-1,0
38,36,506,5,577,1,-1,0
39,37,0,5,137,1,-1,0
40,44,2586,5,160,1,-1,0
41,50,49,5,180,2,-1,0
42,60,104,5,22,1,-1,0
43,54,529,5,1492,1,-1,0
44,58,96,5,616,1,-1,0
45,36,-171,5,242,1,-1,0
46,58,-364,5,355,1,-1,0
47,44,0,5,225,2,-1,0
48,55,0,5,160,1,-1,0
49,29,0,5,363,1,-1,0
50,54,1291,5,266,1,-1,0
51,48,-244,5,253,1,-1,0
52,32,0,5,179,1,-1,0
53,42,-76,5,787,1,-1,0
54,24,-103,5,145,1,-1,0
55,38,243,5,174,1,-1,0
56,38,424,5,104,1,-1,0
57,47,306,5,13,1,-1,0
58,40,24,5,185,1,-1,0
59,46,179,5,1778,1,-1,0
60,32,0,5,138,1,-1,0
61,53,989,5,812,1,-1,0
62,57,249,5,164,1,-1,0
63,33,790,5,391,1,-1,0
64,49,154,5,357,1,-1,0
65,51,6530,5,91,1,-1,0
66,60,100,5,528,1,-1,0
67,59,59,5,273,1,-1,0
68,55,1205,5,158,2,-1,0
69,35,12223,5,177,1,-1,0
70,57,5935,5,258,1,-1,0
71,31,25,5,172,1,-1,0
72,54,282,5,154,1,-1,0
73,55,23,5,291,1,-1,0
74,43,1937,5,181,1,-1,0
75,53,384,5,176,1,-1,0
76,44,582,5,211,1,-1,0
77,55,91,5,349,1,-1,0
78,49,0,5,272,1,-1,0
79,55,1,5,208,1,-1,0
80,45,206,5,193,1,-1,0
81,47,164,5,212,1,-1,0
82,42,690,5,20,1,-1,0
83,59,2343,5,1042,1,-1,0
84,46,137,5,246,1,-1,0
85,51,173,5,529,2,-1,0
86,56,45,5,1467,1,-1,0
87,41,1270,5,1389,1,-1,0
88,46,16,5,188,2,-1,0
89,57,486,5,180,2,-1,0
90,42,50,5,48,1,-1,0
91,30,152,5,213,2,-1,0
92,60,290,5,583,1,-1,0
93,60,54,5,221,1,-1,0
94,57,-37,5,173,1,-1,0
95,36,101,5,426,1,-1,0
